								
Playlist download for:

Station: KALX
DJ: Kendra Levine
Number of entries: 9999999
Fields are comma delimited, in the following header order:

playid,show,playtype,genre,timestamp,artist,title,albumtitle,label,prepost,programtype,iswebcast,isrequest
14134133,Kendra K,,,03-04-2015 @ 07:03:00,George Jones,Burn the Honky-Tonk Down,Burn The Honky-Tonk Down,Rounder,,live,y,
14134122,Kendra K,Single,,03-04-2015 @ 07:00:00,Buck Owens,Hot Dog,Hot Dog,Capitol,,live,y,
14134086,Kendra K,,,03-04-2015 @ 06:54:00,X-Mal Deutschland,Sehnsucht,Qual,4AD,,live,y,
14134069,Kendra K,Single,,03-04-2015 @ 06:48:00,Glass Candy &amp; The Shattered Theater,Hurt,Metal Gods,S/R,,live,y,
14134038,Kendra K,Feature Single,,03-04-2015 @ 06:40:00,Roche,Stillhope,Stillhope,100% Silk,,live,y,
14133974,Kendra K,,,03-04-2015 @ 06:38:00,Mar-kets,Balboa Blue,Surfer's Stomp,Liberty,,live,y,
14133973,Kendra K,Feature Compilation,,03-04-2015 @ 06:34:00,The Everywheres,Eep Opp Ork Ah-Ah,Faux Real,Father Daughter,,live,y,
14133945,Kendra K,Single,,03-04-2015 @ 06:30:00,Outlets,Best Friends,Best Friends,Modern Method Records,,live,y,
14133934,Kendra K,Single,,03-04-2015 @ 06:29:00,Ultrasheen,Alive Alive,Alive Alive,Subterranean Records,,live,y,
14133933,Kendra K,Feature,,03-04-2015 @ 06:25:00,Rock*A*Teens,Tuesday's Just As Bad,A Major Motion Picture,Chunklet,,live,y,
14133860,Kendra K,,,03-04-2015 @ 06:18:00,Howlin' Wolf,Smokestack Lightning,The Howlin' Wolf Album,Cadet,,live,y,y
14133836,Kendra K,Single,,03-04-2015 @ 06:14:00,Shaggy,Oh, Carolina,Oh, Carolina,Signet,,live,y,
14133815,Kendra K,Feature Single,,03-04-2015 @ 06:10:00,Analog Players Society,Looking For A New Love,Looking For A New Love,Studio Brooklyn,,live,y,
14133781,Kendra K,Single,,03-04-2015 @ 06:05:00,House of Pain,Fed Up,Fed Up (Remixes),Tommy Boy,,live,y,
14133780,Kendra K,,,03-04-2015 @ 06:01:00,Everly Brothers,Wake Up Little Susie,S/T,Rhino,,live,y,
14077765,Kendra K,Feature,,02-24-2015 @ 23:56:00,Doomtree,Heavy Rescue,All Hands,Doomtree,,live,y,
14077744,Kendra K,,,02-24-2015 @ 23:50:00,Intelligence,Block of Ice,Deuteronomy,In The Red,,live,y,
14077738,Kendra K,Feature,,02-24-2015 @ 23:48:00,Girlpool,Jane,S/T,Witchita,,live,y,
14077721,Kendra K,Feature,,02-24-2015 @ 23:45:00,Woolen Men,After The Flood,Live From The Banana Stand,S/R,,live,y,
14077664,Kendra K,,,02-24-2015 @ 23:35:00,Dead Boys,I Need Lunch,Young, Loud, And Snotty,Sire,,live,y,
14077653,Kendra K,,,02-24-2015 @ 23:32:00,Impediments,(Don't) Mess Me Around,S/T,Happyparts,,live,y,
14077639,Kendra K,Feature,,02-24-2015 @ 23:30:00,Sir Lord Von Raven,Three Chords,The Age of Machines,Guitars &amp; Bongos,,live,y,
14077631,Kendra K,Compilation,,02-24-2015 @ 23:28:00,Tony Sheridan,My Bonnie,Let's Go! Let's Dance!! Let's Have A Party!!!,Bear Family,,live,y,
14077621,Kendra K,Feature Compilation,,02-24-2015 @ 23:26:00,Carnations,Renegade,Hadley Murrell Presents: The Best Arizona Garage Bands 1967-1970,HDM,,live,y,
14077608,Kendra K,,,02-24-2015 @ 23:24:00,Gary Lewis &amp; The Playboys,This Diamond Ring,This Diamond Ring,Liberty,,live,y,
14077598,Kendra K,Feature,,02-24-2015 @ 23:22:00,Sonny &amp; the Sunsets,The Secluded Estate,Talent Night At the Ashram,Polyvinyl,,live,y,
14077577,Kendra K,,,02-24-2015 @ 23:18:00,Fendermen,Mule Skinner Blues,Mule Skinner Blues,Beat Rocket,,live,y,
14077560,Kendra K,,,02-24-2015 @ 23:14:00,Family,No Mule's Fool,A Song For Me,Reprise,,live,y,
14077537,Kendra K,,,02-24-2015 @ 23:08:00,Leo Cuypers,Alstat de Olifantstand,Heavy Days Are Here Again,Atavistic,,live,y,
